random_state,beta_T,beta_P,beta_TP,p_value_T,p_value_P,p_value_TP,alpha,var_intercept,var_residual
5,0.005,0.005,0.005,0.4934666050315092,0.4607978510673294,0.5534465257952657,0.05,0.002295,0.01237839803161637
2,0.005,0.005,0.005,0.18424530017245766,0.4647972293438434,0.937960638761377,0.05,0.002295,0.01237839803161637
1,0.005,0.005,0.005,0.7154862161409223,0.9193037437301699,0.2385031390300778,0.05,0.002295,0.01237839803161637
7,0.005,0.005,0.005,0.20168624422364734,0.8695206784545437,0.6307981028126199,0.05,0.002295,0.01237839803161637
10,0.005,0.005,0.005,0.741153722950384,0.9866351461340129,0.1006971793434653,0.05,0.002295,0.01237839803161637
12,0.005,0.005,0.005,0.9136676326787357,0.23044463232413392,0.16981906430845917,0.05,0.002295,0.01237839803161637
14,0.005,0.005,0.005,0.005702814723040593,0.006600135097832679,0.7654618134677729,0.05,0.002295,0.01237839803161637
3,0.005,0.005,0.005,0.5166872942658363,0.7558229936117993,0.5033262024572804,0.05,0.002295,0.01237839803161637
0,0.005,0.005,0.005,0.39571098375347047,0.41002181533004445,0.6301723158695249,0.05,0.002295,0.01237839803161637
18,0.005,0.005,0.005,0.5426616204279355,0.24451811854966343,0.3891044385919249,0.05,0.002295,0.01237839803161637
17,0.005,0.005,0.005,0.48959990979859624,0.27319253133624877,0.23980742810705613,0.05,0.002295,0.01237839803161637
13,0.005,0.005,0.005,0.7754243151462931,0.4125245294707146,0.37252587783838265,0.05,0.002295,0.01237839803161637
19,0.005,0.005,0.005,0.013194802979124832,0.037117693838537406,0.14841334512729482,0.05,0.002295,0.01237839803161637
16,0.005,0.005,0.005,0.06487713740937477,0.028204780381238834,0.6490341034733832,0.05,0.002295,0.01237839803161637
15,0.005,0.005,0.005,0.0011083312303181176,0.00858251343108202,0.9967884252066652,0.05,0.002295,0.01237839803161637
21,0.005,0.005,0.005,0.01976233314419676,0.02322396188073731,0.32068659904103447,0.05,0.002295,0.01237839803161637
6,0.005,0.005,0.005,0.2025548898670203,0.7299902728979959,0.9183157340309184,0.05,0.002295,0.01237839803161637
11,0.005,0.005,0.005,0.6022583216413906,0.3011089398777521,0.34941384595482516,0.05,0.002295,0.01237839803161637
9,0.005,0.005,0.005,0.39570598955137193,0.4673828764261204,0.5700950538106885,0.05,0.002295,0.01237839803161637
4,0.005,0.005,0.005,0.49839646247688096,0.6221264482223352,0.3492823015096661,0.05,0.002295,0.01237839803161637
8,0.005,0.005,0.005,0.12265341509452125,0.4204605339854226,0.8615843982320543,0.05,0.002295,0.01237839803161637
26,0.005,0.005,0.005,0.7243135355374665,0.2711247343889365,0.36763548124424095,0.05,0.002295,0.01237839803161637
28,0.005,0.005,0.005,0.5664655505860792,0.3922127986301913,0.42869948151480786,0.05,0.002295,0.01237839803161637
29,0.005,0.005,0.005,0.3374660010883547,0.49688264283533023,0.4371699308916265,0.05,0.002295,0.01237839803161637
30,0.005,0.005,0.005,0.5764607647274522,0.19175215470017126,0.6399572851479487,0.05,0.002295,0.01237839803161637
20,0.005,0.005,0.005,0.00861597382956653,0.028424404941855223,0.5776536613679832,0.05,0.002295,0.01237839803161637
22,0.005,0.005,0.005,0.5937732565858745,0.17966006368109866,0.48674757165657256,0.05,0.002295,0.01237839803161637
35,0.005,0.005,0.005,0.1420439222298736,0.25479193462494254,0.7470426341744215,0.05,0.002295,0.01237839803161637
36,0.005,0.005,0.005,0.6696590354069013,0.29959653999058455,0.3833750106985351,0.05,0.002295,0.01237839803161637
37,0.005,0.005,0.005,0.8060004770493978,0.3278869452919081,0.7495858401493977,0.05,0.002295,0.01237839803161637
38,0.005,0.005,0.005,0.0712883319357176,0.5840887236680756,0.5043966849473502,0.05,0.002295,0.01237839803161637
39,0.005,0.005,0.005,0.26525094837622454,0.960795428030281,0.15543897708926105,0.05,0.002295,0.01237839803161637
24,0.005,0.005,0.005,0.2931025635923129,0.2123930453583357,0.7788516086102482,0.05,0.002295,0.01237839803161637
32,0.005,0.005,0.005,0.004507026049866804,0.006132806723866198,0.5698687668751818,0.05,0.002295,0.01237839803161637
33,0.005,0.005,0.005,0.020971612103434997,0.06678675840245539,0.3339422978157722,0.05,0.002295,0.01237839803161637
23,0.005,0.005,0.005,0.9084198113580663,0.30916889802801584,0.8229820819943882,0.05,0.002295,0.01237839803161637
42,0.005,0.005,0.005,0.7157083680694099,0.15587397945261794,0.5620666288411424,0.05,0.002295,0.01237839803161637
45,0.005,0.005,0.005,0.011520180284998753,0.9136232329815228,0.9836144273836915,0.05,0.002295,0.01237839803161637
25,0.005,0.005,0.005,0.6193645360768909,0.46017659362847463,0.14215925105536842,0.05,0.002295,0.01237839803161637
46,0.005,0.005,0.005,0.0054600381587286955,0.5097661302550113,0.8568315910485441,0.05,0.002295,0.01237839803161637
49,0.005,0.005,0.005,0.8283190714323508,0.056738054079028793,0.23791862770150873,0.05,0.002295,0.01237839803161637
48,0.005,0.005,0.005,0.3836821346873648,0.2484931887381936,0.6321370606314811,0.05,0.002295,0.01237839803161637
50,0.005,0.005,0.005,0.6777295242677627,0.015456199949618731,0.0775829597001301,0.05,0.002295,0.01237839803161637
31,0.005,0.005,0.005,0.183932899266243,0.05932857783526005,0.2606554171556943,0.05,0.002295,0.01237839803161637
27,0.005,0.005,0.005,0.10881730275001218,0.026870214798526696,0.2139490918080097,0.05,0.002295,0.01237839803161637
53,0.005,0.005,0.005,0.28768392867436565,0.6716685709728989,0.3318960099105306,0.05,0.002295,0.01237839803161637
52,0.005,0.005,0.005,0.5267994492659946,0.21553405320238783,0.2795895565658165,0.05,0.002295,0.01237839803161637
54,0.005,0.005,0.005,0.0267494277918677,0.1280944011290601,0.9673921749267874,0.05,0.002295,0.01237839803161637
