author_id,handle,N_tweets,created_at,followers_count,following_count,tweet_count,NG_unreliable_share,NG_score_mean
2756069574,sessionstx17,13,2014-08-22 19:04:04+00:00,1182,19,513,0.0,90.83333333333333
27675991,darafaye,22078,2009-03-30 16:38:51+00:00,45960,5464,103777,0.022263450834879406,91.45176252319109
27775884,tndesjarlais,9,2009-03-31 00:59:24+00:00,1819,1024,531,,
27789237,harleyrouda,37,2009-03-31 02:12:52+00:00,69833,7451,8480,0.0,100.0
278005891,schneider4il10,271,2011-04-06 12:23:04+00:00,21514,361,4130,0.0,97.5
278124059,senblumenthal,1815,2011-04-06 17:13:53+00:00,709876,983,18922,0.005847953216374269,96.66374269005848
2791994307,vazquez4ca52,1166,2014-09-29 15:49:43+00:00,878,2291,3688,0.0,94.8913043478261
2802716391,josue_vazquez81,6,2014-10-03 20:27:35+00:00,12,2,7,,
2821807613,gilbert36ward,449,2014-10-11 01:37:41+00:00,3030,799,3157,0.0,97.5
282297391,allyisom,76,2011-04-14 23:16:10+00:00,1077,452,171,0.0,92.11111111111111
283722901,mia4md,382,2011-04-17 22:02:34+00:00,28802,19942,31781,0.0,87.5
2868353169,generalbrnovich,484,2014-11-09 03:21:51+00:00,52760,2581,5687,0.35344827586206895,78.13793103448276
2870865249,wepicknick,2043,2014-11-10 17:41:27+00:00,9667,2253,4335,0.0,97.5
288973089,ameenamatthews,24,2011-04-27 19:48:41+00:00,6547,328,5090,,
29088441,rubenldante,5394,2009-04-05 23:02:14+00:00,3633,2303,14927,0.023809523809523808,94.27380952380952
2909879002,drkermitjones,297,2014-12-07 20:49:06+00:00,5673,1942,1283,0.0,94.33333333333333
29239452,ryan_mackenzie,1,2009-04-06 16:54:06+00:00,451,267,106,,
292594517,scottpeterssd,179,2011-05-03 22:25:55+00:00,12169,1471,6837,0.0,97.5
2930635215,repnewhouse,1215,2014-12-18 20:19:23+00:00,25093,1163,5560,0.17803030303030304,84.03787878787878
293131808,pattymurray,2078,2011-05-04 20:23:35+00:00,491282,2403,24092,0.0,94.95689655172414
294126378,grassleypress,720,2011-05-06 15:35:48+00:00,25382,3935,14880,0.21428571428571427,83.67857142857143
29495695,kloeffler,1823,2009-04-07 17:28:52+00:00,198257,856,5510,0.22105263157894736,81.00964912280702
295712099,buddy_carter,492,2011-05-09 14:52:58+00:00,6848,3321,4175,0.3006134969325153,78.80061349693251
29653722,pblass,156,2009-04-08 06:06:20+00:00,137,498,2936,,
2966205003,repmarkwalker,757,2015-01-07 16:20:28+00:00,42654,2219,9019,0.2,84.86
2966770391,pamkeithfl,18266,2015-01-07 21:55:48+00:00,152445,6957,136410,0.08333333333333333,89.33333333333333
2970892229,najimbenine,929,2015-01-10 04:38:00+00:00,8220,789,1722,0.08333333333333333,71.52083333333333
30063514,burnsfornh,182,2009-04-09 20:46:09+00:00,1723,1056,1271,0.18181818181818182,83.18181818181819
3009415727,kenforflorida,1193,2015-02-01 05:57:29+00:00,16622,4638,9621,0.01020408163265306,95.22448979591837
302302070,sethcorey,505,2011-05-20 23:29:49+00:00,951,1509,7745,0.016,95.916
30252303,markdesaulnier,143,2009-04-10 16:33:41+00:00,3008,160,1051,0.0,92.5
3027264433,ocsupbartlett,255,2015-02-18 20:34:24+00:00,2412,309,1860,0.0,100.0
303633791,nanette4ca,105,2011-05-23 06:38:33+00:00,4128,1303,4440,0.0,95.41666666666667
30540789,montaga,863,2009-04-11 22:32:07+00:00,173905,949,20735,0.6111111111111112,65.93518518518519
3064473368,lily4liberty,1797,2015-03-06 09:45:33+00:00,37339,6329,7306,0.2864864864864865,70.04864864864865
3080004118,jimmy4congress,208,2015-03-08 18:37:42+00:00,1876,3814,4714,0.0,90.0
3086421769,bestofalllll,42,2015-03-15 18:21:39+00:00,3,73,77,1.0,37.5
308873933,jason_bollinger,461,2011-06-01 04:19:28+00:00,5909,5746,795,0.0,94.375
309070309,markpocan,981,2011-06-01 13:46:02+00:00,27175,2540,7068,0.014084507042253521,93.2605633802817
3092473673,ericlynnfl,760,2015-03-16 17:41:18+00:00,27955,477,1151,0.0,98.11842105263158
309792253,joseph_c_rocha,510,2011-06-02 17:39:37+00:00,12002,442,7444,0.0,96.875
3100048625,brendenpkelley,391,2015-03-20 19:12:33+00:00,2362,2085,1107,0.0,89.31818181818181
